epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8038,1.20858,3.42939,1.24284,0.00344,0.87838,0.56979,0.36682,0.9436,3.7016,0.9196,0.00026,0.00026,0.00026
2,106.129,1.15323,2.30364,1.10488,0.00354,0.90541,0.78613,0.54525,0.93531,3.45819,0.8952,0.00043308,0.00043308,0.00043308
3,155.511,1.08259,1.81276,1.10164,0.00354,0.90541,0.33381,0.20974,0.94015,3.56147,0.90714,0.00049528,0.00049528,0.00049528
4,204.502,1.0119,1.65502,1.05576,1,0.16449,0.49183,0.32477,0.97771,3.45468,0.92423,0.0004466,0.0004466,0.0004466
5,253.172,1.02001,1.49758,1.04084,1,0.26029,0.82114,0.57363,0.93894,3.14925,0.90445,0.00028704,0.00028704,0.00028704
